row_grain,state,msa_id,msa_cbsa_name,carrier_plan_name,billing_class,setting_type,pos,presence_status,total_weighted_rate_base,total_weighted_rate_new,delta_total_weighted_rate,pct_change_total_weighted_rate,pct_carrier_mrf_spend_base,pct_carrier_mrf_spend_new,delta_pct_carrier_mrf,pct_hospital_mrf_spend_base,pct_hospital_mrf_spend_new,delta_pct_hospital_mrf,pct_imputed_spend_base,pct_imputed_spend_new,delta_pct_imputed,pct_greenyellow_base,pct_greenyellow_new,delta_pct_greenyellow,pct_red_base,pct_red_new,delta_pct_red,pct_missing_base,pct_missing_new,delta_pct_missing,spend_ratio_vs_bcbs_base,spend_ratio_vs_bcbs_new,delta_spend_ratio_vs_bcbs,n_rates_greenyellow_base,n_rates_greenyellow_new,n_msas_base,n_msas_new,n_states_in_msa_base,n_states_in_msa_new,is_multistate_msa_base,is_multistate_msa_new,is_multistate_msa,n_states_in_msa,review_label_base,review_label_new,supplementary_label_base,supplementary_label_new,label_changed,label_transition,flag_needs_review_base,flag_needs_review_new,flag_canonical_count_base,flag_canonical_count_new,review_direction,flag_big_spend_swing,flag_stoplight_swing,flag_source_swing,flag_label_changed,flag_appeared,flag_disappeared,flag_changed_any
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Cigna OAP,TOTAL,TOTAL,All,BOTH,6207547,6471570,264023,4.25,10.11,23.5,13.39,0.46,0.38,-0.08,89.44,76.12,-13.32,10.56,23.88,13.32,6.23,6.64,0.41,83.21,69.49,-13.72,0.9925,0.9841,-0.0084,7558,22344,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",clean,clean,0,,1,1,3,3,stable,0,1,1,0,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",UHC Choice POS Plus,TOTAL,TOTAL,All,BOTH,6262247,6236135,-26112,-0.42,29.97,46.28,16.31,0.86,0.43,-0.43,69.17,53.29,-15.88,30.83,46.71,15.88,28.69,18.56,-10.13,40.48,34.74,-5.74,1.0013,0.9483,-0.053,55906,138604,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Red",Low Hospital MRF,clean,clean,1,"Low Hospital MRF, High Red  ->  Low Hospital MRF",1,1,2,1,improved,0,1,1,1,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Aetna Choice POS,institutional,inpatient,Inpatient,BOTH,1282261,1257614,-24647,-1.92,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,100,0,1.0072,0.8902,-0.117,0,0,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",Sparse Sample,"Off vs BCBS, Sparse Sample",0,,1,1,3,3,stable,0,0,0,0,0,0,0
MSA,WI,48020,"Watertown-Fort Atkinson, WI",BCBS PPO,institutional,inpatient,Inpatient,BOTH,1273146,1412785,139639,10.97,26.14,73.82,47.68,3.67,0.26,-3.41,70.19,25.91,-44.28,29.81,74.09,44.28,60.13,17.36,-42.77,10.06,8.55,-1.51,1,1,0,225,1114,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Red",Low Hospital MRF,clean,Off vs Peers,1,"Low Hospital MRF, High Red  ->  Low Hospital MRF",1,1,2,1,improved,1,1,1,1,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Cigna OAP,institutional,inpatient,Inpatient,BOTH,1282261,1257614,-24647,-1.92,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,100,0,1.0072,0.8902,-0.117,0,0,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",Sparse Sample,"Off vs BCBS, Sparse Sample",0,,1,1,3,3,stable,0,0,0,0,0,0,0
MSA,WI,48020,"Watertown-Fort Atkinson, WI",UHC Choice POS Plus,institutional,inpatient,Inpatient,BOTH,1281192,1191440,-89752,-7.01,13.75,44.55,30.8,3.57,1.67,-1.9,82.68,53.78,-28.9,17.32,46.22,28.9,79.62,49.86,-29.76,3.06,3.92,0.86,1.0063,0.8433,-0.163,127,873,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Red","Low Hospital MRF, High Red",clean,Off vs BCBS,1,"Low Carrier MRF, Low Hospital MRF, High Red  ->  Low Hospital MRF, High Red",1,1,3,2,improved,0,1,1,1,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Aetna Choice POS,institutional,outpatient,Outpatient,BOTH,2285900,2270459,-15441,-0.68,21.73,36.45,14.72,0.75,1.32,0.57,77.52,62.23,-15.29,22.48,37.77,15.29,37.38,24.27,-13.11,40.14,37.96,-2.18,1.02,1.0007,-0.0193,190,343,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Red","Low Hospital MRF, High Red",clean,clean,1,"Low Carrier MRF, Low Hospital MRF, High Red  ->  Low Hospital MRF, High Red",1,1,3,2,improved,0,1,1,1,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",BCBS PPO,institutional,outpatient,Outpatient,BOTH,2240978,2268810,27832,1.24,32.65,36.48,3.83,0.88,1.17,0.29,66.47,62.35,-4.12,33.53,37.65,4.12,39.6,44.05,4.45,26.87,18.3,-8.57,1,1,0,1487,1961,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Red","Low Hospital MRF, High Red",clean,clean,0,,1,1,2,2,stable,0,0,0,0,0,0,0
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Cigna OAP,institutional,outpatient,Outpatient,BOTH,2273266,2229215,-44051,-1.94,0.52,1.71,1.19,1.25,1.1,-0.15,98.23,97.2,-1.03,1.77,2.8,1.03,1.22,7.37,6.15,97.01,89.83,-7.18,1.0144,0.9825,-0.0319,34,123,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",Sparse Sample,clean,0,,1,1,3,3,stable,0,0,0,0,0,0,0
MSA,WI,48020,"Watertown-Fort Atkinson, WI",UHC Choice POS Plus,institutional,outpatient,Outpatient,BOTH,2265147,2204658,-60489,-2.67,0.94,18.25,17.31,0.37,0.31,-0.06,98.69,81.44,-17.25,1.31,18.56,17.25,22.41,8.1,-14.31,76.28,73.35,-2.93,1.0108,0.9717,-0.0391,95,794,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Red, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",Sparse Sample,clean,1,"Low Carrier MRF, Low Hospital MRF, High Red, High Missing  ->  Low Carrier MRF, Low Hospital MRF, High Missing",1,1,4,3,improved,0,1,1,1,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Aetna Choice POS,professional,outpatient,Professional,BOTH,2635925,3084087,448162,17,59.17,72.2,13.03,0,0,0,40.83,27.8,-13.03,59.17,72.2,13.03,15.46,11.11,-4.35,25.37,16.68,-8.69,0.962,1.0655,0.1035,90142,189011,1,1,1,1,false,false,false,1,clean,clean,clean,clean,0,,0,0,0,0,still_clean,1,1,1,0,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",BCBS PPO,professional,outpatient,Professional,BOTH,2740154,2894415,154261,5.63,77.18,75.26,-1.92,0,0,0,22.82,24.74,1.92,77.18,75.26,-1.92,11.19,12.67,1.48,11.64,12.07,0.43,1,1,0,98394,118560,1,1,1,1,false,false,false,1,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
